City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Roma,43.2128,-75.4557,86.95,67,75,10.36,US,2022-07-21 19:10:18
1,Ushuaia,-54.8,-68.3,31.66,86,40,23.02,AR,2022-07-21 19:07:18
2,Tuatapere,-46.1333,167.6833,43.5,90,100,1.28,NZ,2022-07-21 19:11:59
3,Rio Grande,-32.035,-52.0986,66.31,97,100,4.23,BR,2022-07-21 19:11:59
4,Khatanga,71.9667,102.5,49.91,81,100,11.77,RU,2022-07-21 19:06:18
5,Upernavik,72.7868,-56.1549,47.03,87,100,10.78,GL,2022-07-21 19:06:19
6,Rikitea,-23.1203,-134.9692,74.71,77,74,19.04,PF,2022-07-21 19:06:27
7,Cairns,-16.9167,145.7667,67.06,97,4,5.19,AU,2022-07-21 19:12:00
8,Punta Arenas,-53.15,-70.9167,35.71,77,40,28.77,CL,2022-07-21 19:04:15
9,Cape Town,-33.9258,18.4232,61.38,78,100,4.0,ZA,2022-07-21 19:07:17
10,Busselton,-33.65,115.3333,57.88,77,58,12.06,AU,2022-07-21 19:06:27
11,Saint-Philippe,-21.3585,55.7679,65.79,81,39,14.25,RE,2022-07-21 19:06:22
12,Mar Del Plata,-38.0023,-57.5575,54.95,36,97,14.0,AR,2022-07-21 19:03:12
13,Castro,-24.7911,-50.0119,70.7,60,16,5.7,BR,2022-07-21 19:06:16
14,Tiksi,71.6872,128.8694,40.91,84,84,11.5,RU,2022-07-21 19:10:42
15,Albany,42.6001,-73.9662,96.58,42,8,4.0,US,2022-07-21 19:06:07
16,Landau,49.2075,8.1133,78.62,52,13,3.71,DE,2022-07-21 19:12:01
17,Atuona,-9.8,-139.0333,77.47,74,18,16.2,PF,2022-07-21 19:07:33
18,Verkhnevilyuysk,63.4453,120.3167,54.0,98,99,6.38,RU,2022-07-21 19:12:01
19,Hobart,-42.8794,147.3294,39.27,91,3,1.99,AU,2022-07-21 19:05:37
20,Angoche,-16.2325,39.9086,72.18,72,0,4.7,MZ,2022-07-21 19:12:02
21,Bosaso,11.2842,49.1816,91.53,42,49,12.53,SO,2022-07-21 19:12:03
22,Kapaa,22.0752,-159.319,80.19,74,75,18.41,US,2022-07-21 19:07:36
23,Aden,12.7794,45.0367,85.23,62,9,3.11,YE,2022-07-21 19:12:03
24,Vaini,-21.2,-175.2,73.85,77,28,10.87,TO,2022-07-21 19:06:24
25,Hilo,19.7297,-155.09,79.29,99,75,10.36,US,2022-07-21 19:06:25
26,Myanaung,18.2833,95.3167,79.2,87,100,3.85,MM,2022-07-21 19:12:04
27,Lebu,-37.6167,-73.65,53.46,78,97,8.57,CL,2022-07-21 19:08:55
28,Dikson,73.5069,80.5464,43.09,95,100,21.39,RU,2022-07-21 19:07:36
29,Vardo,70.3705,31.1107,57.18,88,0,5.75,NO,2022-07-21 19:12:05
30,Kodiak,57.79,-152.4072,56.71,82,75,8.05,US,2022-07-21 19:06:18
31,Kilindoni,-7.9139,39.6668,75.88,72,0,16.53,TZ,2022-07-21 19:12:05
32,Bafoulabe,13.8065,-10.8321,80.33,81,100,2.95,ML,2022-07-21 19:07:24
33,Bredasdorp,-34.5322,20.0403,48.38,87,100,0.72,ZA,2022-07-21 19:07:31
34,Pafos,34.7667,32.4167,82.18,69,0,6.91,CY,2022-07-21 19:10:54
35,Ponta Do Sol,32.6667,-17.1,76.71,78,3,6.2,PT,2022-07-21 19:10:44
36,Georgetown,5.4112,100.3354,83.89,85,20,0.0,MY,2022-07-21 19:05:47
37,Sur,22.5667,59.5289,87.19,71,93,12.66,OM,2022-07-21 19:12:07
38,Chengde,40.9725,117.9361,66.67,87,20,1.99,CN,2022-07-21 19:12:08
39,Hami,42.8,93.45,75.49,24,0,2.33,CN,2022-07-21 19:12:08
40,Gold Coast,-28.0,153.4333,62.01,90,75,19.57,AU,2022-07-21 19:08:53
41,Dubai,25.2582,55.3047,100.33,37,0,8.05,AE,2022-07-21 19:07:45
42,Altamont,42.2068,-121.7372,86.9,22,0,6.91,US,2022-07-21 19:12:09
43,Mataura,-46.1927,168.8643,40.5,96,100,0.74,NZ,2022-07-21 19:06:14
44,Adelaide,-34.9333,138.6,55.85,73,100,5.99,AU,2022-07-21 19:09:22
45,Saskylakh,71.9167,114.0833,46.83,78,100,8.37,RU,2022-07-21 19:06:19
46,Linxia,35.6003,103.2064,49.35,90,0,3.91,CN,2022-07-21 19:12:10
47,Bluff,-46.6,168.3333,45.25,84,76,9.82,NZ,2022-07-21 19:06:21
48,Briancon,44.9,6.65,75.34,60,9,1.66,FR,2022-07-21 19:13:11
49,Fairbanks,64.8378,-147.7164,62.6,65,100,3.44,US,2022-07-21 19:08:32
50,Salinopolis,-0.6136,-47.3561,81.3,76,91,7.49,BR,2022-07-21 19:13:12
51,Mbanza-Ngungu,-5.25,14.8667,76.23,56,68,4.38,CD,2022-07-21 19:13:12
52,Barrow,71.2906,-156.7887,44.62,81,0,25.32,US,2022-07-21 19:13:12
53,Pochutla,15.7432,-96.4661,90.82,55,100,7.94,MX,2022-07-21 19:13:13
54,Waitati,-45.75,170.5667,46.8,82,100,3.91,NZ,2022-07-21 19:13:13
55,Lavrentiya,65.5833,-171.0,39.11,85,100,22.26,RU,2022-07-21 19:13:14
56,Chipinge,-20.1883,32.6236,58.98,68,99,5.61,ZW,2022-07-21 19:13:14
57,Tezu,27.9167,96.1667,76.23,96,100,3.22,IN,2022-07-21 19:13:14
58,Santa Isabel Do Rio Negro,-0.4139,-65.0192,88.45,57,99,1.05,BR,2022-07-21 19:13:15
59,Ancud,-41.8697,-73.8203,41.23,87,100,11.99,CL,2022-07-21 19:06:26
60,Nikolskoye,59.7035,30.7861,69.69,79,0,3.53,RU,2022-07-21 19:07:42
61,Chokurdakh,70.6333,147.9167,42.3,56,0,7.92,RU,2022-07-21 19:08:56
62,Hasaki,35.7333,140.8333,79.29,91,100,17.11,JP,2022-07-21 19:13:16
63,Zhigansk,66.7697,123.3711,55.94,93,100,3.74,RU,2022-07-21 19:13:17
64,Sao Joao Da Barra,-21.6403,-41.0511,77.09,74,12,10.13,BR,2022-07-21 19:05:09
65,Fortuna,40.5982,-124.1573,58.66,80,42,7.7,US,2022-07-21 19:08:51
66,Mahebourg,-20.4081,57.7,69.26,69,90,21.14,MU,2022-07-21 19:10:48
67,Airai,-8.9266,125.4092,54.75,93,98,3.2,TL,2022-07-21 19:04:06
68,Puerto Escondido,15.85,-97.0667,87.84,66,100,9.24,MX,2022-07-21 19:11:34
69,Te Anau,-45.4167,167.7167,33.46,95,47,1.39,NZ,2022-07-21 19:06:23
70,Butaritari,3.0707,172.7902,80.58,75,99,4.5,KI,2022-07-21 19:06:20
71,Tabou,4.423,-7.3528,75.4,75,100,8.21,CI,2022-07-21 19:13:18
72,New Norfolk,-42.7826,147.0587,38.91,82,5,2.68,AU,2022-07-21 19:13:19
73,Kenai,60.5544,-151.2583,55.49,91,100,4.61,US,2022-07-21 19:13:19
74,Pemberton,50.3164,-122.8027,84.24,41,4,4.65,CA,2022-07-21 19:13:19
75,Torbay,47.6666,-52.7314,78.89,61,99,8.32,CA,2022-07-21 19:05:34
76,Tsuruoka,38.7217,139.8217,72.66,83,100,2.35,JP,2022-07-21 19:13:20
77,Atasu,48.6814,71.6433,69.89,62,1,8.97,KZ,2022-07-21 19:13:20
78,Southbridge,42.0751,-72.0334,93.25,67,98,4.0,US,2022-07-21 19:13:21
79,Yazman,29.1212,71.7446,80.94,77,100,10.89,PK,2022-07-21 19:13:21
80,Cockburn Town,21.4612,-71.1419,85.96,70,40,13.8,TC,2022-07-21 19:13:21
81,Pokhara,28.2333,83.9833,72.09,88,100,5.01,NP,2022-07-21 19:10:29
82,Fort Nelson,58.8053,-122.7002,66.43,34,69,12.82,CA,2022-07-21 19:13:22
83,Mitu,1.1983,-70.1733,76.93,94,99,3.38,CO,2022-07-21 19:13:22
84,Guaymas,27.9333,-110.9,100.89,47,0,16.11,MX,2022-07-21 19:13:23
85,Bulgan,48.8125,103.5347,49.5,97,100,4.0,MN,2022-07-21 19:13:23
86,Novoagansk,61.9449,76.6625,56.35,66,100,8.21,RU,2022-07-21 19:13:23
87,Pisco,-13.7,-76.2167,65.01,72,20,8.05,PE,2022-07-21 19:07:41
88,Ahipara,-35.1667,173.1667,54.28,86,80,7.74,NZ,2022-07-21 19:13:24
89,Sao Filipe,14.8961,-24.4956,75.72,85,93,7.9,CV,2022-07-21 19:08:52
90,Puerto Ayora,-0.7393,-90.3518,80.56,88,63,8.99,EC,2022-07-21 19:07:41
91,Atambua,-9.1061,124.8925,69.22,88,100,6.02,ID,2022-07-21 19:14:25
92,Hithadhoo,-0.6,73.0833,80.74,72,100,4.63,MV,2022-07-21 19:07:43
93,Ribeira Grande,38.5167,-28.7,77.4,83,20,9.22,PT,2022-07-21 19:07:14
94,Araouane,18.9048,-3.5265,97.09,30,20,2.91,ML,2022-07-21 19:14:25
95,Shingu,33.7333,135.9833,77.81,93,2,4.32,JP,2022-07-21 19:14:25
96,Tautira,-17.7333,-149.15,75.42,78,29,11.36,PF,2022-07-21 19:07:33
97,Nabire,-3.3667,135.4833,75.49,90,42,3.04,ID,2022-07-21 19:14:26
98,Nuuk,64.1835,-51.7216,57.81,67,75,14.97,GL,2022-07-21 19:14:26
99,Lorengau,-2.0226,147.2712,80.87,78,100,8.41,PG,2022-07-21 19:14:27
100,Matagami,49.7502,-77.6328,62.2,98,100,11.99,CA,2022-07-21 19:13:14
101,Beringovskiy,63.05,179.3167,45.91,69,31,9.8,RU,2022-07-21 19:14:27
102,Provideniya,64.3833,-173.3,41.47,72,100,10.54,RU,2022-07-21 19:06:28
103,Agadez,19.75,10.25,95.47,15,87,3.24,NE,2022-07-21 19:14:28
104,Chuy,-33.6971,-53.4616,57.33,85,98,7.58,UY,2022-07-21 19:14:28
105,Champasak,14.75,106.0,72.3,100,100,2.19,LA,2022-07-21 19:14:28
106,Avarua,-21.2078,-159.775,71.65,73,75,10.36,CK,2022-07-21 19:07:35
107,Cordoba,-31.4135,-64.1811,67.24,39,100,10.36,AR,2022-07-21 19:12:26
108,Thompson,55.7435,-97.8558,62.76,77,75,6.91,CA,2022-07-21 19:08:48
109,Aboso,5.3617,-1.9473,73.58,71,28,6.8,GH,2022-07-21 19:14:29
110,Datong,40.0936,113.2914,74.08,54,100,4.68,CN,2022-07-21 19:14:29
111,Green River,41.5286,-109.4662,89.19,16,4,8.99,US,2022-07-21 19:14:30
112,Pangani,-5.4333,38.9667,72.1,82,0,9.62,TZ,2022-07-21 19:14:30
113,Dzhebariki-Khaya,62.2167,135.8,65.19,70,62,3.74,RU,2022-07-21 19:14:30
114,Iqaluit,63.7506,-68.5145,42.53,93,100,5.99,CA,2022-07-21 19:10:09
115,Arraial Do Cabo,-22.9661,-42.0278,73.26,78,0,9.22,BR,2022-07-21 19:14:31
116,Hovd,48.0056,91.6419,63.84,44,100,3.71,MN,2022-07-21 19:14:31
117,Simpang,-1.2667,104.0833,73.85,97,85,2.59,ID,2022-07-21 19:14:32
118,Punta Alta,-38.8759,-62.0736,53.08,28,99,6.91,AR,2022-07-21 19:13:50
119,Vila Velha,-20.3297,-40.2925,75.15,85,40,11.5,BR,2022-07-21 19:08:29
120,Marigot,18.0667,-63.0833,85.05,77,1,19.98,MF,2022-07-21 19:14:32
121,Esperance,-33.8667,121.9,51.64,82,67,18.23,AU,2022-07-21 19:06:28
122,Weiser,44.251,-116.9693,100.31,15,0,1.01,US,2022-07-21 19:14:33
123,Aykhal,66.0,111.5,50.0,93,100,1.74,RU,2022-07-21 19:14:33
124,East London,-33.0153,27.9116,60.98,68,0,2.75,ZA,2022-07-21 19:06:29
125,Clyde River,70.4692,-68.5914,37.83,95,100,2.51,CA,2022-07-21 19:06:22
126,Mehamn,71.0357,27.8492,57.11,94,100,4.97,NO,2022-07-21 19:14:34
127,Port Elizabeth,-33.918,25.5701,56.41,73,0,2.24,ZA,2022-07-21 19:14:34
128,Pitimbu,-7.4706,-34.8086,77.59,82,100,12.08,BR,2022-07-21 19:14:35
129,Simplicio Mendes,-7.8539,-41.9103,87.4,32,81,8.39,BR,2022-07-21 19:14:35
130,Cidreira,-30.1811,-50.2056,65.44,87,100,6.29,BR,2022-07-21 19:14:35
131,Port Hedland,-20.3167,118.5667,70.12,63,0,9.78,AU,2022-07-21 19:10:10
132,Port Alfred,-33.5906,26.891,58.21,70,0,0.78,ZA,2022-07-21 19:08:47
133,Longyearbyen,78.2186,15.6401,51.64,82,75,9.22,SJ,2022-07-21 19:08:54
134,Bend,44.0582,-121.3153,91.26,20,0,12.66,US,2022-07-21 19:14:36
135,Carnarvon,-24.8667,113.6333,63.66,71,47,15.97,AU,2022-07-21 19:07:39
136,Pont-A-Celles,50.5053,4.3636,66.31,75,75,4.61,BE,2022-07-21 19:14:36
137,Jamestown,42.097,-79.2353,83.52,59,75,13.8,US,2022-07-21 19:13:03
138,Lagoa,39.05,-27.9833,72.73,83,94,5.06,PT,2022-07-21 19:15:37
139,Kalach-Na-Donu,48.691,43.5264,68.58,45,78,5.68,RU,2022-07-21 19:15:37
140,Harper,4.375,-7.7169,75.51,75,100,9.4,LR,2022-07-21 19:15:37
141,Okhotsk,59.3833,143.3,55.74,93,100,3.15,RU,2022-07-21 19:15:38
142,Ajdabiya,30.7554,20.2263,79.18,59,0,18.48,LY,2022-07-21 19:15:38
143,Turukhansk,65.8167,87.9833,55.35,91,100,11.32,RU,2022-07-21 19:15:38
144,Yellowknife,62.456,-114.3525,68.52,40,40,8.05,CA,2022-07-21 19:15:39
145,Santiago De Chuco,-8.15,-78.1833,65.95,30,86,6.2,PE,2022-07-21 19:15:39
146,Faanui,-16.4833,-151.75,77.5,73,9,12.73,PF,2022-07-21 19:15:40
147,Dzaoudzi,-12.7887,45.2699,71.49,88,0,5.75,YT,2022-07-21 19:15:40
148,Dina,52.9335,-110.0849,77.41,48,9,13.96,CA,2022-07-21 19:15:40
149,Cayenne,4.9333,-52.3333,87.84,9,40,10.36,GF,2022-07-21 19:15:41
150,Dahra,36.2546,0.8519,87.19,58,0,8.14,DZ,2022-07-21 19:15:41
151,Kudahuvadhoo,2.6708,72.8944,82.4,69,100,10.09,MV,2022-07-21 19:15:41
152,Fatick,14.3581,-16.5858,85.89,59,99,12.95,SN,2022-07-21 19:15:42
153,Aksu,41.1231,80.2644,80.83,25,0,6.22,CN,2022-07-21 19:15:42
154,Baykit,61.67,96.37,58.59,79,85,2.51,RU,2022-07-21 19:15:42
155,Luganville,-15.5333,167.1667,77.04,86,11,4.83,VU,2022-07-21 19:15:43
156,Kruisfontein,-34.0033,24.7314,50.45,86,0,2.08,ZA,2022-07-21 19:15:43
157,Grand Gaube,-20.0064,57.6608,69.39,75,97,8.01,MU,2022-07-21 19:13:24
158,Bethel,41.3712,-73.414,93.63,74,0,13.8,US,2022-07-21 19:15:44
159,Conakry,9.538,-13.6773,78.04,86,87,13.04,GN,2022-07-21 19:11:24
160,Asosa,10.0667,34.5333,58.78,97,53,2.06,ET,2022-07-21 19:15:44
161,Marsh Harbour,26.5412,-77.0636,83.7,70,7,11.7,BS,2022-07-21 19:13:25
162,Druzhba,52.0428,33.9453,57.99,96,7,9.28,UA,2022-07-21 19:15:44
163,Jiancheng,30.391,104.5491,74.7,98,100,7.11,CN,2022-07-21 19:14:14
164,Qaanaaq,77.484,-69.3632,45.54,70,100,5.93,GL,2022-07-21 19:15:45
165,Maniitsoq,65.4167,-52.9,45.14,91,100,12.19,GL,2022-07-21 19:15:45
166,Jinka,5.65,36.65,67.41,60,85,0.98,ET,2022-07-21 19:15:45
167,Mandera,3.9366,41.867,87.67,31,80,15.9,KE,2022-07-21 19:15:46
168,Yenagoa,4.9247,6.2642,75.09,87,89,6.11,NG,2022-07-21 19:15:46
169,Moerai,-22.4333,-151.3333,71.51,56,56,25.12,PF,2022-07-21 19:15:46
170,Penzance,50.1186,-5.5371,61.48,71,100,15.66,GB,2022-07-21 19:15:47
171,Byron Bay,-28.65,153.6167,58.95,76,100,18.59,AU,2022-07-21 19:15:47
172,Hermanus,-34.4187,19.2345,54.0,75,100,0.4,ZA,2022-07-21 19:15:47
173,Roela,59.1667,26.5926,62.94,61,5,2.98,EE,2022-07-21 19:15:48
174,Grande Prairie,55.1667,-118.8027,71.2,39,98,11.54,CA,2022-07-21 19:13:19
175,Kahului,20.8947,-156.47,78.82,77,75,11.5,US,2022-07-21 19:15:48
176,Ilulissat,69.2167,-51.1,51.82,82,75,5.75,GL,2022-07-21 19:15:49
177,Urengoy,65.9667,78.3667,47.19,83,100,3.42,RU,2022-07-21 19:15:49
178,Victoria,22.2855,114.1577,86.18,79,0,3.0,HK,2022-07-21 19:15:49
179,Firozpur Jhirka,27.8,76.95,86.79,67,100,4.65,IN,2022-07-21 19:15:50
180,Cao Bang,22.6667,106.25,74.05,98,14,0.49,VN,2022-07-21 19:15:50
181,Tasiilaq,65.6145,-37.6368,42.96,77,89,2.84,GL,2022-07-21 19:15:50
182,Vao,-22.6667,167.4833,73.06,90,14,22.12,NC,2022-07-21 19:16:51
183,Noyabrsk,63.1994,75.4507,48.24,78,78,10.22,RU,2022-07-21 19:16:51
184,Celestun,20.8667,-90.4,87.42,62,1,11.41,MX,2022-07-21 19:16:51
185,Hohhot,40.8106,111.6522,71.89,43,20,4.47,CN,2022-07-21 19:16:52
186,Pevek,69.7008,170.3133,32.02,99,100,8.86,RU,2022-07-21 19:16:52
187,Half Moon Bay,37.4636,-122.4286,83.53,73,75,20.71,US,2022-07-21 19:15:35
188,Honningsvag,70.9821,25.9704,56.95,94,100,0.0,NO,2022-07-21 19:16:52
189,Rockland,41.1668,-74.0496,97.9,56,22,3.0,US,2022-07-21 19:14:30
190,Kuala Selangor,3.35,101.25,79.0,82,99,2.19,MY,2022-07-21 19:16:53
191,Los Llanos De Aridane,28.6585,-17.9182,69.55,83,20,18.41,ES,2022-07-21 19:16:53
192,Minab,27.1467,57.0801,89.92,74,27,5.75,IR,2022-07-21 19:16:53
193,Sakakah,29.9697,40.2064,98.17,15,0,17.76,SA,2022-07-21 19:16:54
194,Hualmay,-11.0964,-77.6139,66.31,71,9,10.31,PE,2022-07-21 19:16:54
195,Cherskiy,68.75,161.3,38.46,79,95,9.75,RU,2022-07-21 19:16:55
196,Lloydminster,53.2835,-110.0016,77.22,41,20,18.41,CA,2022-07-21 19:15:35
197,Port Hardy,50.6996,-127.4199,59.18,77,75,10.36,CA,2022-07-21 19:15:21
198,Zaysan,47.4667,84.8667,64.81,43,24,4.85,KZ,2022-07-21 19:16:55
